
> lokimetasmith.github.io@1.0.0 start
> serve dist

 UPDATE  The latest version of `serve` is 14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  5/22/2026 9:24:57 PM ::1 GET /
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 21 ms
 HTTP  5/22/2026 9:24:57 PM ::1 GET /lib/clipper.js
 HTTP  5/22/2026 9:24:57 PM ::1 GET /assets/version-BXU_fLYu.css
 HTTP  5/22/2026 9:24:57 PM ::1 GET /assets/splotch-theme-BV8SOxFX.css
 HTTP  5/22/2026 9:24:57 PM ::1 GET /assets/main-CgutWy2x.js
 HTTP  5/22/2026 9:24:57 PM ::1 GET /assets/modulepreload-polyfill-B5Qt9EMX.js
 HTTP  5/22/2026 9:24:57 PM ::1 GET /assets/version-Cg7atczZ.js
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 7 ms
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 9 ms
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 8 ms
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 8 ms
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 14 ms
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 12 ms
 HTTP  5/22/2026 9:24:57 PM ::1 GET /assets/svgparser-CFVdj02A.js
 HTTP  5/22/2026 9:24:57 PM ::1 GET /assets/a11y-improvements-DardMKrZ.js
 HTTP  5/22/2026 9:24:57 PM ::1 GET /mascot.png
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 16 ms
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 16 ms
 HTTP  5/22/2026 9:24:57 PM ::1 Returned 200 in 35 ms
 HTTP  5/22/2026 9:24:58 PM ::1 GET /cookie-consent.js
 HTTP  5/22/2026 9:24:58 PM ::1 Returned 200 in 2 ms
 HTTP  5/22/2026 9:24:58 PM ::1 GET /assets/trace-worker-DJdWh8SA.js
 HTTP  5/22/2026 9:24:58 PM ::1 GET /assets/offset-worker-d0labMay.js
 HTTP  5/22/2026 9:24:58 PM ::1 Returned 200 in 5 ms
 HTTP  5/22/2026 9:24:58 PM ::1 Returned 200 in 5 ms
 HTTP  5/22/2026 9:24:58 PM ::1 GET /api/csrf-token
 HTTP  5/22/2026 9:24:58 PM ::1 GET /api/pricing-info
 HTTP  5/22/2026 9:24:58 PM ::1 Returned 404 in 5 ms
 HTTP  5/22/2026 9:24:58 PM ::1 GET /api/inventory
 HTTP  5/22/2026 9:24:58 PM ::1 Returned 404 in 5 ms
